Summary,Issue Type,Description,Labels
"Multi-file ticket 01 - Harmonize task page header",Task,"Update multiple files for a small UI copy change. Touch the page header, matching tests, and documentation note if present. Keep behavior unchanged except the requested wording.","axle-run,multi-files-ticket"
"Multi-file ticket 02 - Add empty state guidance",Task,"Add an empty state message across the relevant view, component, and test files. Keep styling consistent with existing patterns and avoid unrelated refactors.","axle-run,multi-files-ticket"
"Multi-file ticket 03 - Improve form validation message",Task,"Update validation copy and related assertions across the form component, validation helper, and tests. Preserve the existing validation rules.","axle-run,multi-files-ticket"
"Multi-file ticket 04 - Normalize status badge labels",Task,"Make status badge labels consistent across the status helper, UI renderer, and tests. Do not change status values stored by the API.","axle-run,multi-files-ticket"
"Multi-file ticket 05 - Add loading text for run detail",Task,"Add clearer loading text in the run detail flow, including the UI file and any snapshot or unit test that checks loading state.","axle-run,multi-files-ticket"
"Multi-file ticket 06 - Align queue action names",Task,"Rename queue action labels in the UI and update tests or docs that mention the old labels. Keep API route names unchanged.","axle-run,multi-files-ticket"
"Multi-file ticket 07 - Add worker offline hint",Task,"Show a short hint when no workers are registered. Update the worker list view and related tests only.","axle-run,multi-files-ticket"
"Multi-file ticket 08 - Improve artifact download copy",Task,"Update artifact download wording across the artifact view, any shared labels, and tests. Do not change artifact storage behavior.","axle-run,multi-files-ticket"
"Multi-file ticket 09 - Add transcript unavailable state",Task,"Add a transcript unavailable state in the transcript viewer and cover it with a focused test. Keep successful transcript rendering unchanged.","axle-run,multi-files-ticket"
"Multi-file ticket 10 - Tighten retry action confirmation",Task,"Add or adjust retry confirmation text in the queue controls and update tests that check retry behavior. Do not change retry semantics.","axle-run,multi-files-ticket"
"Multi-file ticket 11 - Improve dashboard auth error",Task,"Make auth failure copy clearer in the dashboard client and related tests. Do not change token format or backend authentication.","axle-run,multi-files-ticket"
"Multi-file ticket 12 - Add priority display helper",Task,"Display run priority consistently in run list and queue views. Add helper or tests only if consistent with existing code style.","axle-run,multi-files-ticket"
"Multi-file ticket 13 - Clarify cancelled run state",Task,"Update cancelled run state text in the UI, status helper, and tests. Do not change cancellation behavior in the coordinator.","axle-run,multi-files-ticket"
"Multi-file ticket 14 - Add paused queue notice",Task,"Show a paused queue notice wherever queue state is summarized. Update the view and tests while keeping backend routes unchanged.","axle-run,multi-files-ticket"
"Multi-file ticket 15 - Improve webhook setup docs",Task,"Update webhook setup documentation and any sample env file references needed for consistency. Do not change runtime code unless required by stale names.","axle-run,multi-files-ticket"
"Multi-file ticket 16 - Align run timeline event names",Task,"Make timeline event labels consistent across event formatter, UI display, and tests. Preserve raw event payloads.","axle-run,multi-files-ticket"
"Multi-file ticket 17 - Add missing test log placeholder",Task,"Add a placeholder for missing test logs in the test log viewer and update tests. Keep artifact fetching behavior unchanged.","axle-run,multi-files-ticket"
"Multi-file ticket 18 - Improve diff empty state",Task,"Improve the diff viewer empty state across UI and tests. Do not modify diff generation.","axle-run,multi-files-ticket"
"Multi-file ticket 19 - Add worker token docs note",Task,"Document worker token usage in the relevant README or ops file and align any command example. Do not change token validation.","axle-run,multi-files-ticket"
"Multi-file ticket 20 - Normalize coordinator URL examples",Task,"Update coordinator URL examples across docs and sample commands so they use a consistent placeholder. Avoid code changes unless examples are generated from code.","axle-run,multi-files-ticket"
"Multi-file ticket 21 - Improve run lookup error copy",Task,"Improve not-found and lookup failure copy in run detail UI and tests. Backend status codes should remain unchanged.","axle-run,multi-files-ticket"
"Multi-file ticket 22 - Add queue filter label",Task,"Add clearer labels for queue filters in the dashboard and update matching tests. Keep filter query behavior unchanged.","axle-run,multi-files-ticket"
"Multi-file ticket 23 - Clarify worker heartbeat age",Task,"Display worker heartbeat age using existing time formatting patterns and test the empty or stale case if tests exist nearby.","axle-run,multi-files-ticket"
"Multi-file ticket 24 - Improve issue link rendering",Task,"Improve issue link display in run list and run detail views. Preserve the stored issue key and URL values.","axle-run,multi-files-ticket"
"Multi-file ticket 25 - Add route summary docs",Task,"Document the coordinator routing fields and align any sample route config. Do not change routing behavior.","axle-run,multi-files-ticket"
"Multi-file ticket 26 - Add webhook label guidance",Task,"Add guidance that Jira tickets need the axle-run label and multi-files-ticket can be used for multi-file work. Update docs and examples only.","axle-run,multi-files-ticket"
"Multi-file ticket 27 - Improve artifact upload error text",Task,"Update artifact upload error messages and tests while keeping the upload endpoint contract unchanged.","axle-run,multi-files-ticket"
"Multi-file ticket 28 - Add dashboard refresh hint",Task,"Add a small refresh hint or timestamp in the dashboard and update tests if the project has them. Keep polling interval unchanged.","axle-run,multi-files-ticket"
"Multi-file ticket 29 - Normalize run result labels",Task,"Make success, failure, and skipped result labels consistent across UI helpers and tests. Do not change stored result values.","axle-run,multi-files-ticket"
"Multi-file ticket 30 - Improve setup feature wording",Task,"Update setup feature wording across docs, CLI help, and tests if the help text is asserted. Do not change command behavior.","axle-run,multi-files-ticket"
"Multi-file ticket 31 - Add cancellation docs example",Task,"Document how to cancel a queued run through the API and align any curl examples. No backend behavior changes.","axle-run,multi-files-ticket"
"Multi-file ticket 32 - Improve queue retry docs example",Task,"Document retry-now behavior with a curl example and update any related command reference. No backend behavior changes.","axle-run,multi-files-ticket"
"Multi-file ticket 33 - Add worker scale-out note",Task,"Add documentation explaining how to run multiple workers with unique container names and shared coordinator URL. Keep code unchanged unless examples are stale.","axle-run,multi-files-ticket"
"Multi-file ticket 34 - Improve server health docs",Task,"Update health endpoint documentation and examples. Do not change the health response shape.","axle-run,multi-files-ticket"
"Multi-file ticket 35 - Add dashboard token reminder",Task,"Add a dashboard token reminder in docs and any UI help text if present. Do not expose or log token values.","axle-run,multi-files-ticket"
"Multi-file ticket 36 - Normalize API error examples",Task,"Make API error examples consistent across docs and tests. Preserve actual status code semantics.","axle-run,multi-files-ticket"
"Multi-file ticket 37 - Improve run status table docs",Task,"Update docs that list run statuses and align status names with existing code. Do not introduce new statuses.","axle-run,multi-files-ticket"
"Multi-file ticket 38 - Add multi-file ticket recipe note",Task,"Document how to write multi-file Jira tickets with files, acceptance criteria, and tests. Update only docs and examples unless tests assert docs text.","axle-run,multi-files-ticket"
"Multi-file ticket 39 - Improve PR creation troubleshooting",Task,"Add troubleshooting guidance for PR creation failures across docs and sample env settings. Do not change PR creation code.","axle-run,multi-files-ticket"
"Multi-file ticket 40 - Add epic fan-out design note",Task,"Document the expected future behavior for epic fan-out and worker scale-out. This is documentation only unless the repo already has a design note pattern to follow.","axle-run,multi-files-ticket"
